locusName	rice.defline	Pfam	Panther	KOG	KO	Best.hit.arabi.name	arabi.symbol	Best.hit.rice.name	rice.symbol
Sobic.001G001800	expressed protein							LOC_Os03g64310.1	NA
Sobic.001G001900	THION30 - Plant thionin family protein precursor, expressed	PF08513,PF00400	PTHR22847,PTHR22847:SF429	KOG0266		AT2G32700.6	LUH	LOC_Os03g64300.1	NA
Sobic.001G002000	protein kinase domain containing protein, expressed	PF00564,PF07714	PTHR31066,PTHR31066:SF7	KOG0192		AT2G35050.1		LOC_Os07g25680.1	NA
Sobic.001G002050									NA
Sobic.001G002100									NA
Sobic.001G002200	myosin, putative, expressed	PF02736,PF00612,PF01843,PF00063	PTHR13140,PTHR13140:SF382		K10357	AT1G04160.1	ATXIB,XI-8,XI-B,XIB	LOC_Os03g64290.1	NA
Sobic.001G002300	transferase family protein, putative, expressed	PF02458	PTHR31625,PTHR31625:SF7			AT1G03940.1		LOC_Os02g28300.1	NA
Sobic.001G002400	OsSub55 - Putative Subtilisin homologue, expressed	PF02225,PF05922,PF00082	PTHR10795,PTHR10795:SF346			AT2G04160.1	AIR3	LOC_Os08g23740.1	NA
Sobic.001G002500	AP2 domain containing protein, expressed	PF00847	PTHR31190,PTHR31190:SF3		K14516	AT3G23240.1	ATERF1,ERF1	LOC_Os03g64260.1	NA
Sobic.001G002600	expressed protein	PF04266	PTHR12963			AT2G20410.1		LOC_Os03g64250.2	NA
Sobic.001G002650									NA
Sobic.001G002700	Ser/Thr protein phosphatase family protein, putative, expressed	PF16891,PF00149	PTHR11668,PTHR11668:SF280	KOG0374	K06269	AT1G64040.1	TOPP3	LOC_Os06g06880.1	NA
Sobic.001G002800	expressed protein	PF14389,PF04784	PTHR23054,PTHR23054:SF16			AT5G60720.1		LOC_Os03g64230.1	NA
Sobic.001G002900									NA
Sobic.001G003000	OTU-like cysteine protease family protein, putative, expressed	PF02338	PTHR12419,PTHR12419:SF18	KOG2605		AT5G04250.1		LOC_Os03g64219.1	NA
Sobic.001G003100	T-complex protein, putative, expressed	PF00118	PTHR11353,PTHR11353:SF11			AT2G28000.1	CH-CPN60A,CPN60A,SLP	LOC_Os03g64210.1	NA
Sobic.001G003200	RNA polymerase sigma factor, putative, expressed	PF04545,PF04539,PF04542	PTHR30603,PTHR30603:SF9		K03086	AT2G36990.1	ATSIG6,SIG6,SIGF,SOLDAT8	LOC_Os08g14450.1	NA
Sobic.001G003300	ABC-2 type transporter, putative, expressed	PF00005,PF01061	PTHR19241,PTHR19241:SF200	KOG0061		AT2G28070.1		LOC_Os03g64200.1	NA
Sobic.001G003400	heavy metal-associated domain containing protein, expressed	PF00403	PTHR22814,PTHR22814:SF114	KOG1603		AT5G03380.1		LOC_Os02g57360.1	NA
Sobic.001G003500	la domain containing protein, putative, expressed	PF05383	PTHR22792,PTHR22792:SF72		K18757	AT5G66100.1		LOC_Os03g06070.1	NA
Sobic.001G003600	GDSL-like lipase/acylhydrolase, putative, expressed	PF00657	PTHR22835,PTHR22835:SF282			AT1G75900.1		LOC_Os03g64170.1	NA
Sobic.001G003700	MATE efflux family protein, putative, expressed	PF01554	PTHR11206,PTHR11206:SF93	KOG1347	K03327	AT4G22790.1		LOC_Os03g64150.1	NA
Sobic.001G003900	pentatricopeptide, putative, expressed	PF07386,PF01535	PTHR24015,PTHR24015:SF662			AT1G13410.1		LOC_Os02g41560.1	NA
Sobic.001G004000	avr9/Cf-9 rapidly elicited protein, putative, expressed	PF11961,PF05003	PTHR31371,PTHR31371:SF4			AT5G51670.1		LOC_Os03g64130.1	NA
Sobic.001G004100	WD domain, G-beta repeat domain containing protein, expressed	PF00400	PTHR22847,PTHR22847:SF358	KOG2096		AT4G00090.1		LOC_Os03g64110.1	NA
Sobic.001G004200	uncharacterized protein yeiN, putative, expressed	PF04227	PTHR10584,PTHR10584:SF201		K16329	AT1G50510.1		LOC_Os08g39420.2	NA
Sobic.001G004300	expressed protein		PTHR33306,PTHR33306:SF8					LOC_Os03g64100.1	NA
Sobic.001G004400		PF03810,PF08389,PF08767	PTHR11223		K14290	AT5G17020.1	ATCRM1,ATXPO1,HIT2,XPO1,XPO1A		NA
Sobic.001G004500	uncharacterized protein PA4923, putative, expressed	PF03641	PTHR31223,PTHR31223:SF19		K06966	AT2G37210.2		LOC_Os02g41770.1	NA
Sobic.001G004550			PTHR34146						NA
Sobic.001G004600	expressed protein	PF05641,PF05266	PTHR31917,PTHR31917:SF15			AT1G26540.1		LOC_Os11g19730.1	NA
Sobic.001G004700	expressed protein		PTHR35106			AT1G65000.1		LOC_Os03g64060.1	NA
Sobic.001G004800	receptor protein kinase, putative, expressed	PF03629	PTHR31988,PTHR31988:SF3			AT3G53010.1		LOC_Os03g64050.1	NA
Sobic.001G004901	BTBN22 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed		PTHR32370,PTHR32370:SF17			AT2G30520.1	RPT2	LOC_Os12g02530.2	NA
Sobic.001G005000	receptor protein kinase, putative, expressed	PF03629	PTHR31988,PTHR31988:SF1			AT4G34215.2		LOC_Os03g64030.1	NA
Sobic.001G005100	lipid binding protein, putative, expressed	PF17047,PF00168	PTHR10774,PTHR10774:SF51			AT3G61050.1	NTMC2T4,NTMC2TYPE4	LOC_Os07g22640.1	NA
Sobic.001G005200	expressed protein		PTHR31032,PTHR31032:SF3			AT4G22890.4	PGR5-LIKE A	LOC_Os03g64020.2	NA
Sobic.001G005300	gibberellin 20 oxidase 1, putative, expressed	PF14226,PF03171	PTHR10209,PTHR10209:SF140	KOG0143	K05282	AT5G51810.1	AT2353,ATGA20OX2,GA20OX2	LOC_Os03g63970.1	NA
Sobic.001G005400									NA
Sobic.001G005500	plastid-specific 30S ribosomal protein 1, chloroplast precursor, putative, expressed	PF02482,PF16321	PTHR33231,PTHR33231:SF1			AT5G24490.1		LOC_Os03g63950.1	NA
Sobic.001G005600	CBS domain containing membrane protein, putative, expressed	PF00571,PF16561	PTHR13780,PTHR13780:SF54	KOG1764		AT1G09020.1	ATSNF4,SNF4	LOC_Os03g63940.1	NA
Sobic.001G005700	acyl carrier protein, putative, expressed	PF00550	PTHR20863:SF34,PTHR20863	KOG1748		AT3G05020.1	ACP,ACP1	LOC_Os03g63930.1	NA
Sobic.001G005800	KAP-2, putative, expressed	PF03730,PF03731,PF08785,PF02735	PTHR12604,PTHR12604:SF4	KOG2326	K10885	AT1G48050.1	ATKU80,KU80	LOC_Os03g63920.1	NA
Sobic.001G005900	PPR repeat domain containing protein, putative, expressed	PF01217	PTHR11043,PTHR11043:SF9			AT1G15370.1		LOC_Os03g63910.1	NA
Sobic.001G006000	PPR repeat domain containing protein, putative, expressed	PF13812,PF01535,PF13041	PTHR24015,PTHR24015:SF357			AT5G46580.1		LOC_Os03g63910.1	NA
Sobic.001G006101	1-aminocyclopropane-1-carboxylate oxidase 2, putative, expressed	PF03171,PF14226	PTHR10209,PTHR10209:SF178	KOG0143		AT1G17020.1	ATSRG1,SRG1	LOC_Os03g63900.1	NA
Sobic.001G006201	1-aminocyclopropane-1-carboxylate oxidase 2, putative, expressed	PF03171,PF14226	PTHR10209,PTHR10209:SF178	KOG0143		AT4G25300.1		LOC_Os03g63900.1	NA
Sobic.001G006300	MYB family transcription factor, putative, expressed					AT5G05790.1		LOC_Os03g63890.1	NA
Sobic.001G006400	DANA2, putative, expressed		PTHR35284,PTHR35284:SF1			AT5G42960.1		LOC_Os03g63860.1	NA
Sobic.001G006500	OsFBDUF19 - F-box and DUF domain containing protein, expressed	PF00646	PTHR32133,PTHR32133:SF131			AT1G57790.1		LOC_Os03g63850.1	NA
Sobic.001G006600	WRKY80, expressed	PF03106	PTHR32096,PTHR32096:SF28			AT1G30650.1	AR411,ATWRKY14,WRKY14	LOC_Os03g63810.1	NA
Sobic.001G006700	RCD1, putative, expressed	PF12174	PTHR32263,PTHR32263:SF4			AT1G32230.1	ATP8,CEO,CEO1,RCD1	LOC_Os03g63770.2	NA
Sobic.001G006800	expressed protein							LOC_Os03g11480.1	NA
Sobic.001G006900	glycosyl hydrolases family 16, putative, expressed	PF06955,PF00722	PTHR31062,PTHR31062:SF39		K08235	AT2G01850.1	ATXTH27,EXGT-A3,XTH27	LOC_Os03g63760.1	NA
Sobic.001G007000	4-nitrophenylphosphatase, putative, expressed	PF13242	PTHR19288,PTHR19288:SF33	KOG2882	K19269	AT5G47760.1	ATPGLP2,ATPK5,PGLP2	LOC_Os09g08660.1	NA
Sobic.001G007100	expressed protein		PTHR21717,PTHR21717:SF28			AT5G03780.1	TRFL10	LOC_Os11g06190.1	NA
Sobic.001G007200	HSF-type DNA-binding domain containing protein, expressed	PF00447	PTHR10015:SF149,PTHR10015		K09419	AT5G16820.1	ATHSF3,ATHSFA1B,HSF3,HSFA1B	LOC_Os03g63750.1	NA
Sobic.001G007300	NFD2, putative, expressed		PTHR11207			AT1G24450.1	NFD2	LOC_Os03g63740.1	NA
Sobic.001G007400	RNA recognition motif containing protein, putative, expressed	PF14259,PF00076	PTHR24012,PTHR24012:SF476	KOG0114	K14837	AT5G46840.1		LOC_Os03g63730.1	NA
Sobic.001G007500	exosome complex exonuclease, putative, expressed	PF01138	PTHR11953,PTHR11953:SF1	KOG1069	K12590	AT3G46210.3		LOC_Os03g63720.1	NA
Sobic.001G007600	GTPase-activating protein, putative, expressed	PF01412	PTHR23180,PTHR23180:SF275	KOG0706	K12493	AT4G17890.1	AGD8	LOC_Os03g63710.1	NA
Sobic.001G007700	AIG2-like family domain containing protein, expressed	PF06094	PTHR12510	KOG4450		AT3G02910.1		LOC_Os03g63700.1	NA
Sobic.001G007800	WD domain, G-beta repeat domain containing protein, expressed	PF00400,PF04158	PTHR22851,PTHR22851:SF0		K11806	AT4G28450.1		LOC_Os01g13730.1	NA
Sobic.001G007900	BCCIP, putative, expressed	PF13862	PTHR13261		K15262	AT2G44510.1		LOC_Os03g63690.1	NA
Sobic.001G008000	PPR repeat domain containing protein, putative, expressed	PF12854,PF13041	PTHR24015			AT4G20090.1	EMB1025	LOC_Os06g30420.1	NA
Sobic.001G008100	expressed protein	PF06979	PTHR13281,PTHR13281:SF0	KOG4478	K17966	AT2G35790.1		LOC_Os03g63680.1	NA
Sobic.001G008200	expressed protein	PF07842	PTHR12214,PTHR12214:SF0		K13211	AT5G08550.1	ILP1	LOC_Os03g63670.2	NA
Sobic.001G008300	expressed protein		PTHR21596:SF8,PTHR21596			AT3G45900.1		LOC_Os03g63660.1	NA
Sobic.001G008400	brevis radix, putative, expressed	PF13713,PF08381	PTHR22870			AT1G31880.1	BRX,NLM9	LOC_Os03g63650.1	NA
Sobic.001G008500	metallo-beta-lactamase, putative, expressed	PF07521,PF00753,PF10996,PF11718	PTHR11203,PTHR11203:SF11		K14403	AT1G61010.1	CPSF73-I	LOC_Os03g63590.1	NA
Sobic.001G008600	phosphoesterase family protein, putative, expressed	PF04185	PTHR31956,PTHR31956:SF1		K01114	AT3G03530.1	NPC4	LOC_Os03g63580.1	NA
Sobic.001G008700	DUF565 domain containing protein, putative, expressed	PF04483	PTHR33787,PTHR33787:SF3			AT3G56830.1		LOC_Os03g63554.1	NA
Sobic.001G008800	expressed protein		PTHR35110,PTHR35110:SF2			AT1G73940.1		LOC_Os03g63550.1	NA
Sobic.001G008900	lysine-rich arabinogalactan protein 19 precursor, putative, expressed		PTHR34551			AT2G28440.1		LOC_Os03g63540.1	NA
Sobic.001G009000	expressed protein							LOC_Os01g46050.1	NA
Sobic.001G009100	expressed protein							LOC_Os01g46690.1	NA
Sobic.001G009200	histone-like transcription factor and archaeal histone, putative, expressed	PF00808	PTHR10252,PTHR10252:SF44			AT1G07980.1	NF-YC10	LOC_Os03g63530.1	NA
Sobic.001G009300	Der1-like family domain containing protein, expressed	PF04511	PTHR11009	KOG0858	K13989	AT4G04860.1	DER2.2	LOC_Os03g63520.1	NA
Sobic.001G009400	pentatricopeptide, putative, expressed	PF13812,PF01535	PTHR24015,PTHR24015:SF858			AT1G03510.1		LOC_Os03g63510.1	NA
Sobic.001G009500			PTHR34291,PTHR34291:SF1			AT5G65660.1			NA
Sobic.001G009600	ATPase, AFG1 family domain containing protein, expressed	PF03969	PTHR12169,PTHR12169:SF5	KOG2383		AT2G25530.1		LOC_Os03g63500.1	NA
Sobic.001G009700	Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed	PF00125,PF16211	PTHR23430	KOG1756	K11251	AT5G02560.1	HTA12	LOC_Os05g02300.1	NA
Sobic.001G009800	N-rich protein, putative, expressed	PF10539	PTHR10857,PTHR10857:SF43			AT3G27090.1		LOC_Os05g41930.2	NA
Sobic.001G009900	pantoate--beta-alanine ligase, putative, expressed	PF02569	PTHR21299,PTHR21299:SF1	KOG3042	K01918	AT5G48840.1	ATPTS,PANC,PTS	LOC_Os03g63490.1	NA
Sobic.001G010000	pentatricopeptide, putative, expressed	PF12854,PF01535	PTHR24015,PTHR24015:SF455			AT2G35030.1		LOC_Os05g02210.1	NA
Sobic.001G010100	ankyrin repeat domain containing protein, expressed	PF12796	PTHR24193,PTHR24193:SF88	KOG4214		AT4G35450.1	AFT,AKR2,AKR2A	LOC_Os03g63480.1	NA
Sobic.001G010200	expressed protein		PTHR33916,PTHR33916:SF1			AT2G47010.2		LOC_Os05g19030.2	NA
Sobic.001G010300	retrotransposon protein, putative, unclassified, expressed		PTHR22850,PTHR22850:SF115	KOG0265		AT5G50970.1		LOC_Os03g63470.1	NA
Sobic.001G010400	snRK1-interacting protein 1, putative, expressed		PTHR34050,PTHR34050:SF3			AT5G47870.1		LOC_Os03g63450.2	NA
Sobic.001G010500	frigida, putative, expressed	PF07899	PTHR31791,PTHR31791:SF3			AT4G00650.1	FLA,FRI	LOC_Os03g63440.1	NA
Sobic.001G010600	U2 small nuclear ribonucleoprotein A, putative, expressed	PF14580	PTHR10552	KOG1644	K11092	AT1G09760.1	U2A\'	LOC_Os02g13990.1	NA
Sobic.001G010700	proteasome subunit, putative, expressed	PF01399	PTHR10855,PTHR10855:SF1		K03035	AT5G09900.1	EMB2107,MSA,RPN5A	LOC_Os03g63430.1	NA
Sobic.001G010800	methionyl-tRNA synthetase, putative, expressed	PF01588	PTHR11586,PTHR11586:SF18	KOG2241		AT3G59980.1		LOC_Os04g23820.1	NA
Sobic.001G010900	OsGrx_S14 - glutaredoxin subgroup II, expressed	PF00462	PTHR10293:SF37,PTHR10293	KOG1752	K07390	AT3G54900.1	ATGRXCP,CXIP1	LOC_Os03g63420.1	NA
Sobic.001G011000	elongation factor Tu, putative, expressed	PF03144,PF03143,PF00009	PTHR23115,PTHR23115:SF155		K02358	AT4G02930.1		LOC_Os03g63410.1	NA
Sobic.001G011100									NA
Sobic.001G011200	transcription factor BTF3, putative, expressed	PF01849	PTHR10351,PTHR10351:SF47	KOG2240	K01527	AT1G17880.1	ATBTF3,BTF3	LOC_Os03g63400.1	NA
Sobic.001G011300	expressed protein		PTHR33880,PTHR33880:SF3			AT4G14100.1		LOC_Os03g63380.1	NA
Sobic.001G011400	CRAL/TRIO domain containing protein, expressed	PF03765,PF00650	PTHR10174,PTHR10174:SF140	KOG1471		AT1G01630.1		LOC_Os03g63370.1	NA
Sobic.001G011600	glutathione S-transferase, putative, expressed	PF10063	PTHR36716,PTHR36716:SF2			AT1G28140.1		LOC_Os03g63360.1	NA
Sobic.001G011700	aspartokinase, chloroplast precursor, putative, expressed	PF00696	PTHR21499,PTHR21499:SF34		K00928	AT5G13280.1	AK,AK-LYS1,AK1	LOC_Os03g63330.1	NA
Sobic.001G011800	SAM domain containing protein, putative, expressed	PF00536	PTHR10627			AT3G48800.1		LOC_Os03g63320.1	NA
Sobic.001G012000	cytochrome P450 71E1, putative, expressed	PF00067	PTHR24298,PTHR24298:SF144		K13029	AT3G26300.1	CYP71B34	LOC_Os03g63310.1	NA
Sobic.001G012100	oxidoreductase, short chain dehydrogenase/reductase family protein, putative, expressed	PF00106	PTHR24322,PTHR24322:SF378	KOG0725		AT3G01980.4		LOC_Os03g63290.1	NA
Sobic.001G012200	cytochrome P450, putative, expressed	PF00067	PTHR24298,PTHR24298:SF144		K13029	AT1G13110.1	CYP71B7	LOC_Os12g32850.1	NA
Sobic.001G012300	cytochrome P450, putative, expressed	PF00067	PTHR24298,PTHR24298:SF1	KOG0156	K13027	AT4G39950.1	CYP79B2	LOC_Os03g37290.1	NA
Sobic.001G012400	cytokinin-O-glucosyltransferase 2, putative, expressed	PF00201	PTHR11926,PTHR11926:SF269	KOG1192	K13030	AT1G22380.1	AtUGT85A3,UGT85A3	LOC_Os02g51910.1	NA
Sobic.001G012500	glutathione S-transferase, putative, expressed	PF00043,PF02798	PTHR11260,PTHR11260:SF262	KOG0867		AT3G62760.1	ATGSTF13	LOC_Os01g55830.1	NA
Sobic.001G012600	MATE efflux family protein, putative, expressed	PF01554	PTHR11206,PTHR11206:SF143	KOG1347	K03327	AT3G21690.1		LOC_Os03g37490.1	NA
Sobic.001G012700	regulatory protein, putative, expressed	PF03407	PTHR24015,PTHR24015:SF903			AT4G19970.1		LOC_Os03g63280.1	NA
Sobic.001G012800	regulatory protein, putative, expressed	PF03407	PTHR24015,PTHR24015:SF807			AT1G14590.1		LOC_Os03g63270.1	NA
Sobic.001G012900	brefeldin A-sensitive Golgi protein-like, putative, expressed	PF12022,PF06148	PTHR12961			AT4G24840.1		LOC_Os03g63250.1	NA
Sobic.001G013000	nitrate-induced NOI protein, expressed	PF05627	PTHR33159,PTHR33159:SF7		K13456	AT3G25070.1	RIN4	LOC_Os03g63140.2	NA
Sobic.001G013100	prefoldin, putative, expressed		PTHR12701,PTHR12701:SF13	KOG1962	K14009	AT5G48660.1		LOC_Os03g63110.1	NA
Sobic.001G013200	actin-related protein 2/3 complex subunit 4, putative, expressed	PF05856	PTHR22629	KOG1876	K05755	AT4G14147.1	ARPC4	LOC_Os03g63090.1	NA
Sobic.001G013300	SWIM zinc finger family protein, putative, expressed		PTHR33977,PTHR33977:SF2			AT1G60560.1		LOC_Os09g13880.1	NA
Sobic.001G013400	nuf2 family protein, expressed	PF03800	PTHR21650	KOG4438		AT1G61000.1		LOC_Os03g38010.1	NA
Sobic.001G013500	DNA-directed RNA polymerases I, II, and III subunit RPABC3, putative, expressed	PF03870	PTHR10917	KOG3400	K03016	AT3G59600.1	NRPB8B,NRPD8B,NRPE8B	LOC_Os06g48230.1	NA
Sobic.001G013600	expressed protein							LOC_Os03g11480.1	NA
Sobic.001G013701									NA
Sobic.001G013800	Ser/Thr protein phosphatase family protein, expressed	PF14008,PF16656,PF00149	PTHR22953,PTHR22953:SF15	KOG1378		AT3G07130.1	ATPAP15,PAP15	LOC_Os03g63074.1	NA
Sobic.001G013900	Ser/Thr protein phosphatase family protein, expressed	PF00155,PF03711	PTHR11751,PTHR11751:SF435					LOC_Os03g63074.1	NA
Sobic.001G014000	P21-Rho-binding domain containing protein, putative, expressed	PF00786	PTHR23177,PTHR23177:SF15			AT5G16490.1	RIC4	LOC_Os03g63060.1	NA
Sobic.001G014100	expressed protein		PTHR33022			AT5G43490.1		LOC_Os03g63040.1	NA
Sobic.001G014200	protein kinase domain containing protein, expressed	PF00069	PTHR24055,PTHR24055:SF184	KOG0661	K08829	AT4G13020.1	MHK	LOC_Os03g63020.3	NA
Sobic.001G014300	OsFBDUF15 - F-box and DUF domain containing protein, expressed	PF03478,PF00646	PTHR11102,PTHR11102:SF99			AT4G22660.1		LOC_Os03g40370.1	NA
Sobic.001G014400	expressed protein		PTHR33033,PTHR33033:SF4			AT5G65005.1		LOC_Os05g35850.1	NA
Sobic.001G014500	DNA-directed RNA polymerases I, II, and III subunit RPABC3, putative, expressed	PF03870	PTHR10917	KOG3400	K03016	AT3G59600.1	NRPB8B,NRPD8B,NRPE8B	LOC_Os06g48230.1	NA
Sobic.001G014600									NA
Sobic.001G014700	glucan endo-1,3-beta-glucosidase precursor, putative, expressed	PF07983,PF00332	PTHR32227,PTHR32227:SF66			AT3G07320.1		LOC_Os03g62860.1	NA
Sobic.001G014800	tetratricopeptide repeat containing protein, putative, expressed	PF07719	PTHR12760	KOG3060		AT3G04830.1		LOC_Os02g03470.1	NA
Sobic.001G014900	AMP-binding enzyme, putative, expressed	PF00501	PTHR24096,PTHR24096:SF199	KOG1256	K01897	AT3G23790.1	AAE16	LOC_Os03g62850.1	NA
Sobic.001G015000	nuclear antigen, putative, expressed		PTHR12299,PTHR12299:SF26			AT5G47210.1		LOC_Os03g62830.1	NA
Sobic.001G015100	pirin, putative, expressed	PF02678,PF05726	PTHR13903,PTHR13903:SF5		K06911	AT2G43120.1		LOC_Os03g62790.1	NA
Sobic.001G015200	S1 RNA binding domain containing protein, expressed	PF00575	PTHR23270,PTHR23270:SF9			AT3G23700.1		LOC_Os03g62780.1	NA
Sobic.001G015300	expressed protein	PF14009	PTHR33052,PTHR33052:SF6					LOC_Os03g62770.1	NA
Sobic.001G015400	elongation factor, putative, expressed	PF03144,PF00679,PF14492,PF03764,PF00009	PTHR23115,PTHR23115:SF162		K02355	AT1G45332.1		LOC_Os03g36780.1	NA
Sobic.001G015500	inner membrane protein, putative, expressed	PF02096	PTHR12428,PTHR12428:SF18		K03217	AT1G24490.1	ALB4,ARTEMIS	LOC_Os03g62750.1	NA
Sobic.001G015600	expressed protein							LOC_Os07g18070.1	NA
Sobic.001G015700	GDSL-like lipase/acylhydrolase, putative, expressed	PF00657	PTHR22835:SF231,PTHR22835			AT3G48460.1		LOC_Os03g62740.1	NA
Sobic.001G015800	transposon protein, putative, unclassified, expressed	PF01603	PTHR10257,PTHR10257:SF18		K11584	AT4G15415.1	ATB\' GAMMA	LOC_Os03g62730.1	NA
Sobic.001G016000	expressed protein	PF05028	PTHR12837	KOG2064	K07759	AT2G31870.1	TEJ	LOC_Os03g62680.1	NA
Sobic.001G016050									NA
Sobic.001G016100	pentatricopeptide, putative, expressed	PF01535,PF13041	PTHR24015,PTHR24015:SF915			AT2G27610.1		LOC_Os03g62690.2	NA
Sobic.001G016200	nuf2 family protein, expressed	PF03800	PTHR21650	KOG4438	K11548	AT1G61000.1		LOC_Os03g38010.1	NA
Sobic.001G016201	nuf2 family protein, expressed		PTHR21650			AT1G61000.1		LOC_Os03g38010.1	NA
Sobic.001G016300	pentatricopeptide, putative, expressed	PF01535,PF13041	PTHR24015,PTHR24015:SF915			AT4G13650.1		LOC_Os03g62690.2	NA
Sobic.001G016350									NA
Sobic.001G016400	ribosomal protein L22, putative, expressed	PF00237	PTHR11593	KOG3353	K02880	AT1G27400.1		LOC_Os09g08430.1	NA
Sobic.001G016500	ribosomal protein L22, putative, expressed	PF00237	PTHR11593	KOG3353	K02880	AT1G27400.1		LOC_Os09g08430.1	NA
Sobic.001G016600	transposon protein, putative, unclassified, expressed	PF03101,PF10551	PTHR31669,PTHR31669:SF10			AT1G52520.1	FRS6	LOC_Os03g62660.1	NA
Sobic.001G016700	ion channel DMI1-like, chloroplast precursor, putative, expressed	PF06241	PTHR31563,PTHR31563:SF5			AT5G49960.1		LOC_Os03g62650.1	NA
Sobic.001G016800	protein binding protein, putative, expressed	PF09724	PTHR13395,PTHR13395:SF6	KOG0798	K11271	AT2G44580.1		LOC_Os05g02810.1	NA
Sobic.001G016900	RNA-binding protein Luc7-like, putative, expressed	PF03194	PTHR12375,PTHR12375:SF32	KOG0796		AT3G03340.1	UNE6	LOC_Os03g62640.2	NA
Sobic.001G017000	ribosomal protein S6, putative, expressed	PF01250	PTHR21011,PTHR21011:SF1		K02990	AT1G64510.1		LOC_Os03g62630.1	NA
Sobic.001G017100	late embryogenesis abundant protein, putative, expressed	PF03168	PTHR31459,PTHR31459:SF2			AT2G44060.2		LOC_Os03g62620.4	NA
Sobic.001G017200	protein transporter, putative, expressed	PF03839	PTHR12443:SF9,PTHR12443	KOG2927	K12275	AT3G20920.1		LOC_Os02g23890.1	NA
Sobic.001G017300	RNA-binding protein containing a PIN domain, putative, expressed	PF05991	PTHR34547		K06962	AT2G02410.1		LOC_Os03g62610.1	NA
Sobic.001G017400	ras-related protein, putative, expressed	PF00025	PTHR24073,PTHR24073:SF564	KOG0087	K07904	AT1G09630.1	ATRAB-A2A,ATRAB11C,ATRABA2A,RAB-A2A,RAB11c	LOC_Os03g62600.1	NA
Sobic.001G017500	oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed	PF13561	PTHR24322,PTHR24322:SF257	KOG1205		AT4G10020.1	AtHSD5,HSD5	LOC_Os03g62590.1	NA
Sobic.001G017600	protein of unknown function containing protein, expressed	PF04266	PTHR34204,PTHR34204:SF2			AT2G43465.1		LOC_Os11g16420.1	NA
Sobic.001G017700	diphthamide biosynthesis protein, putative, expressed	PF01866	PTHR10762,PTHR10762:SF2	KOG2648	K17866	AT3G59630.1		LOC_Os11g16430.1	NA
Sobic.001G017800	vacuolar sorting protein, putative, expressed	PF02204	PTHR23101,PTHR23101:SF63			AT3G19770.1	ATVPS9A,VPS9,VPS9A	LOC_Os03g62580.1	NA
Sobic.001G017900	FAD binding protein, putative, expressed		PTHR35305,PTHR35305:SF1			AT3G49645.1		LOC_Os07g16140.1	NA
Sobic.001G018000	amine oxidase, flavin-containing, domain containing protein, expressed	PF01593	PTHR10668,PTHR10668:SF4			AT1G57770.1		LOC_Os03g62510.1	NA
Sobic.001G018100	CGMC_GSK.5 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed	PF07714	PTHR24057,PTHR24057:SF3		K03083	AT1G09840.6	ATSK41,SK41	LOC_Os03g62500.1	NA
