chr,gene_id,ID,Locus.Tag,Region,Product
Ga0197603_11,MSTRG.22,2758108963, Ga0197603_0028,complement(28117..29541), cysteinyl-tRNA synthetase
Ga0197603_11,MSTRG.23,2758108964, Ga0197603_0029,29717..30211, hypothetical protein
Ga0197603_11,MSTRG.24,2758108965, Ga0197603_0030,30524..31555, N-acetylornithine carbamoyltransferase
Ga0197603_11,MSTRG.25,2758108966, Ga0197603_0031,31609..32844, argininosuccinate synthase
Ga0197603_11,MSTRG.26,2758108967, Ga0197603_0032,33094..33555, acetyltransferase (GNAT) family protein
Ga0197603_11,MSTRG.26,2758108968, Ga0197603_0033,33552..34652, N-acetylcitrulline deacetylase
Ga0197603_11,MSTRG.27,2758108969, Ga0197603_0034,34692..36035, N-acetylglutamate kinase N-acetylglutamate synthase
Ga0197603_11,MSTRG.28,2758108970, Ga0197603_0035,36041..36652, RimJRimL family protein N-acetyltransferase
Ga0197603_11,MSTRG.28,2758108971, Ga0197603_0036,36649..37599, N-acetyl-gamma-glutamyl-phosphate reductase
Ga0197603_11,MSTRG.29,2758108972, Ga0197603_0037,37675..38970, argininosuccinate lyase
Ga0197603_11,MSTRG.29,2758108973, Ga0197603_0038,38970..39335, mannose-6-phosphate isomerase-like protein (cupin superfamily)
Ga0197603_11,MSTRG.29,2758108974, Ga0197603_0039,39335..39595, uncharacterized protein YciI
Ga0197603_11,MSTRG.30,2758108975, Ga0197603_0040,39609..40763, glutamate 5-kinase
Ga0197603_11,MSTRG.31,2758108976, Ga0197603_0041,40923..42167, glutamate-5-semialdehyde dehydrogenase
Ga0197603_11,MSTRG.32,2758108977, Ga0197603_0042,42531..44444, hypothetical protein
Ga0197603_11,MSTRG.33,2758108978, Ga0197603_0043,complement(44425..45690), CP family cyanate transporter-like MFS transporter
Ga0197603_11,MSTRG.34,2758108979, Ga0197603_0044,complement(45778..45851), label=tRNA
Ga0197603_11,MSTRG.35,2758108980, Ga0197603_0045,complement(45911..46021), cyd operon protein YbgT
Ga0197603_11,MSTRG.36,2758108981, Ga0197603_0046,complement(46106..47256), cytochrome bd-I ubiquinol oxidase subunit 2 apoprotein
Ga0197603_11,MSTRG.37,2758108982, Ga0197603_0047,complement(47273..48906), cytochrome bd-I ubiquinol oxidase subunit 1 apoprotein
Ga0197603_11,MSTRG.38,2758108983, Ga0197603_0048,49097..50794, ATP-binding cassette subfamily C protein CydD
Ga0197603_11,MSTRG.38,2758108984, Ga0197603_0049,50791..52476, ATP-binding cassette subfamily C protein CydC
Ga0197603_11,MSTRG.39,2758108985, Ga0197603_0050,complement(52684..53298), uncharacterized membrane protein YsdA (DUF1294 family)
Ga0197603_11,MSTRG.40,2758108986, Ga0197603_0051,complement(53448..54650), homoserine O-acetyltransferase
Ga0197603_11,MSTRG.42,2758108987, Ga0197603_0052,complement(55037..56050), cytochrome c-type biogenesis protein CcmH
Ga0197603_11,MSTRG.42,2758108988, Ga0197603_0053,complement(56050..56484), cytochrome c-type biogenesis protein CcmH
Ga0197603_11,MSTRG.42,2758108989, Ga0197603_0054,complement(56481..57083), cytochrome c biogenesis protein CcmGthiol:disulfide interchange protein DsbE
Ga0197603_11,MSTRG.42,2758108990, Ga0197603_0055,complement(57076..59013), cytochrome c-type biogenesis protein CcmF
Ga0197603_11,MSTRG.43,2758108991, Ga0197603_0056,complement(59185..59655), cytochrome c-type biogenesis protein CcmE
Ga0197603_11,MSTRG.43,2758108992, Ga0197603_0057,complement(59652..59822), heme exporter protein D
Ga0197603_11,MSTRG.43,2758108993, Ga0197603_0058,complement(59819..60571), heme exporter protein C
Ga0197603_11,MSTRG.44,2758108994, Ga0197603_0059,complement(60666..61361), heme exporter protein B
Ga0197603_11,MSTRG.44,2758108995, Ga0197603_0060,complement(61358..62002), heme exporter protein A
Ga0197603_11,MSTRG.45,2758108996, Ga0197603_0061,62230..63378, 2-keto-4-methylthiobutyrate aminotransferase succinyldiaminopimelate aminotransferase
Ga0197603_11,MSTRG.46,2758108997, Ga0197603_0062,63537..63683, hypothetical protein
Ga0197603_11,MSTRG.47,2758108998, Ga0197603_0063,63746..64558, predicted amidohydrolase
Ga0197603_11,MSTRG.48,2758108999, Ga0197603_0064,complement(64638..65408), glutaminyl-peptide cyclotransferase
Ga0197603_11,MSTRG.49,2758109000, Ga0197603_0065,65548..66009, hypothetical protein
Ga0197603_11,MSTRG.50,2758109001, Ga0197603_0066,complement(66214..67869), ribosomal large subunit pseudouridine synthase B
Ga0197603_11,MSTRG.50,2758109002, Ga0197603_0067,complement(67862..69076), segregation and condensation protein B
Ga0197603_11,MSTRG.51,2758109003, Ga0197603_0068,complement(69090..69929), condensin subunit ScpA
Ga0197603_11,MSTRG.41,2758109004, Ga0197603_0069,70365..70664, hypothetical protein
Ga0197603_11,MSTRG.41,2758109005, Ga0197603_0070,70661..70930, BolA protein family transcriptional regulator
Ga0197603_11,MSTRG.52,2758109006, Ga0197603_0071,71551..72573, LacI family transcriptional regulator
Ga0197603_11,MSTRG.53,2758109007, Ga0197603_0072,72710..75688, outer membrane receptor protein involved in Fe transport
Ga0197603_11,MSTRG.54,2758109008, Ga0197603_0073,75792..77411, hypothetical protein
Ga0197603_11,MSTRG.55,2758109009, Ga0197603_0074,77415..78785, carbohydrate ABC transporter substrate-binding protein (CUT1 family)
Ga0197603_11,MSTRG.55,2758109010, Ga0197603_0075,78782..79666, carbohydrate ABC transporter membrane protein 1 (CUT1 family)
Ga0197603_11,MSTRG.55,2758109011, Ga0197603_0076,79663..80499, carbohydrate ABC transporter membrane protein 2 (CUT1 family)
Ga0197603_11,MSTRG.55,2758109012, Ga0197603_0077,80496..83660, amylo-alpha-1 6-glucosidase
Ga0197603_11,MSTRG.55,2758109013, Ga0197603_0078,83657..84634, endonucleaseexonucleasephosphatase family metal-dependent hydrolase
Ga0197603_11,MSTRG.56,2758109014, Ga0197603_0079,complement(84650..85621), transposase
Ga0197603_11,MSTRG.57,2758109015, Ga0197603_0080,complement(85961..87193), pheromone shutdown-related protein TraB
Ga0197603_11,MSTRG.57,2758109016, Ga0197603_0081,complement(87193..87714), phosphinothricin acetyltransferase
Ga0197603_11,MSTRG.58,2758109017, Ga0197603_0082,complement(87719..88603), N-carbamoylputrescine amidase
Ga0197603_11,MSTRG.59,2758109018, Ga0197603_0083,complement(88888..89922), agmatinepeptidylarginine deiminase
Ga0197603_11,MSTRG.60,2758109019, Ga0197603_0084,complement(90157..90498), hypothetical protein
Ga0197603_11,MSTRG.61,2758109020, Ga0197603_0085,complement(90745..90870), LSU ribosomal protein L36P
Ga0197603_11,MSTRG.62,2758109021, Ga0197603_0086,91043..91726, cytidylate kinase
Ga0197603_11,MSTRG.63,2758109022, Ga0197603_0087,91910..93595, SSU ribosomal protein S1P
Ga0197603_11,MSTRG.64,2758109023, Ga0197603_0088,93684..93995, integration host factor subunit beta
Ga0197603_11,MSTRG.65,2758109024, Ga0197603_0089,94063..94368, uncharacterized protein DUF1049
Ga0197603_11,MSTRG.66,2758109025, Ga0197603_0090,94375..95553, lipopolysaccharide biosynthesis regulator YciM
Ga0197603_11,MSTRG.66,2758109026, Ga0197603_0091,95553..96521, UDP-N-acetylmuramyl pentapeptide phosphotransferaseUDP-N-acetylglucosamine-1-phosphate transferase
Ga0197603_11,MSTRG.67,2758109027, Ga0197603_0092,96535..98442, FlaA1EpsC-like NDP-sugar epimerase
Ga0197603_11,MSTRG.67,2758109028, Ga0197603_0093,98442..99335, UDP-glucose pyrophosphorylase
Ga0197603_11,MSTRG.68,2758109029, Ga0197603_0094,99484..99792, hypothetical protein
Ga0197603_11,MSTRG.69,2758109030, Ga0197603_0095,complement(99946..100266), hypothetical protein
Ga0197603_11,MSTRG.70,2758109031, Ga0197603_0096,100316..101227, methenyltetrahydrofolate cyclohydrolase 5 10-methylenetetrahydrofolate dehydrogenase (NADP )
Ga0197603_11,MSTRG.70,2758109032, Ga0197603_0097,101187..102872, inosine-5'-monophosphate dehydrogenase
Ga0197603_11,MSTRG.71,2758109033, Ga0197603_0098,102994..104559, GMP synthase (glutamine-hydrolysing)
Ga0197603_11,MSTRG.72,2758109034, Ga0197603_0099,104868..106076, site-specific recombinase XerD
Ga0197603_11,MSTRG.74,2758109036, Ga0197603_0101,complement(106470..107462), hypothetical protein
Ga0197603_11,MSTRG.75,2758109037, Ga0197603_0102,107556..107780, AlpA family transcriptional regulator
Ga0197603_11,MSTRG.76,2758109038, Ga0197603_0103,107783..108661, plasmid and phage replicative helicase
Ga0197603_11,MSTRG.76,2758109039, Ga0197603_0104,108648..109400, hypothetical protein
Ga0197603_11,MSTRG.77,2758109040, Ga0197603_0105,complement(109942..110259), hypothetical protein
Ga0197603_11,MSTRG.79,2758109042, Ga0197603_0107,110511..110765, plasmid stability protein
Ga0197603_11,MSTRG.79,2758109043, Ga0197603_0108,110762..111181, hypothetical protein
Ga0197603_11,MSTRG.80,2758109044, Ga0197603_0109,111338..112120, P-type conjugative transfer protein TrbJ
Ga0197603_11,MSTRG.81,2758109045, Ga0197603_0110,112133..112366, entry exclusion lipoprotein TrbK
Ga0197603_11,MSTRG.81,2758109046, Ga0197603_0111,112363..113823, type IV secretion system protein TrbL
Ga0197603_11,MSTRG.82,2758109047, Ga0197603_0112,113892..114134, ptaRNA1 toxin of toxin-antitoxin type I system
Ga0197603_11,MSTRG.83,2758109048, Ga0197603_0113,114146..114430, hypothetical protein
Ga0197603_11,MSTRG.84,2758109049, Ga0197603_0114,114433..114801, hypothetical protein
Ga0197603_11,MSTRG.85,2758109050, Ga0197603_0115,complement(114840..115298), predicted XRE-type DNA-binding protein
Ga0197603_11,MSTRG.85,2758109051, Ga0197603_0116,complement(115295..115531), hypothetical protein
Ga0197603_11,MSTRG.86,2758109052, Ga0197603_0117,115646..116347, DNA invertase Pin-like site-specific DNA recombinase
Ga0197603_11,MSTRG.86,2758109053, Ga0197603_0118,116344..116481, hypothetical protein
Ga0197603_11,MSTRG.87,2758109054, Ga0197603_0119,116488..117525, hypothetical protein
Ga0197603_11,MSTRG.87,2758109055, Ga0197603_0120,117522..118400, hypothetical protein
Ga0197603_11,MSTRG.88,2758109056, Ga0197603_0121,118464..118652, hypothetical protein
Ga0197603_11,MSTRG.88,2758109057, Ga0197603_0122,118649..119347, competence protein CoiA-like protein
Ga0197603_11,MSTRG.89,2758109058, Ga0197603_0123,complement(119567..120847), transposase-like protein
Ga0197603_11,MSTRG.90,2758109059, Ga0197603_0124,complement(120950..121597), TetR family transcriptional regulator
Ga0197603_11,MSTRG.91,2758109060, Ga0197603_0125,121705..122598, thioredoxin reductase
Ga0197603_11,MSTRG.92,2758109061, Ga0197603_0126,122621..123094, protein-S-isoprenylcysteine O-methyltransferase Ste14
Ga0197603_11,MSTRG.94,2758109062, Ga0197603_0127,complement(123410..125848), hypothetical protein
Ga0197603_11,MSTRG.95,2758109063, Ga0197603_0128,complement(125872..127443), NAD(P)H-quinone oxidoreductase subunit 5
Ga0197603_11,MSTRG.96,2758109064, Ga0197603_0129,127553..128443, LysR family transcriptional regulator
Ga0197603_11,MSTRG.97,2758109065, Ga0197603_0130,complement(128481..129392), LysR family transcriptional regulator
Ga0197603_11,MSTRG.98,2758109066, Ga0197603_0131,129494..129820, SnoaL-like protein
Ga0197603_11,MSTRG.98,2758109067, Ga0197603_0132,129817..130599, NAD(P)-dependent dehydrogenase (short-subunit alcohol dehydrogenase family)
Ga0197603_11,MSTRG.99,2758109068, Ga0197603_0133,complement(130619..131674), uncharacterized integral membrane protein (TIGR00698 family)
Ga0197603_11,MSTRG.100,2758109069, Ga0197603_0134,131852..132775, transcriptional regulator LysR family transcriptional regulator
Ga0197603_11,MSTRG.101,2758109070, Ga0197603_0135,complement(132983..133597), hypothetical protein
Ga0197603_11,MSTRG.102,2758109071, Ga0197603_0136,complement(133640..134794), methyl-accepting chemotaxis protein
Ga0197603_11,MSTRG.93,2758109072, Ga0197603_0137,complement(135147..135788), DNA-binding NarLFixJ family response regulator
Ga0197603_11,MSTRG.93,2758109073, Ga0197603_0138,complement(135781..138738), histidine kinaseDNA gyrase BHSP90-like ATPase
Ga0197603_11,MSTRG.103,2758109074, Ga0197603_0139,139271..139744, AraC family transcriptional regulator
Ga0197603_11,MSTRG.103,2758109075, Ga0197603_0140,139741..140397, nicotinamidase-related amidase
Ga0197603_11,MSTRG.103,2758109076, Ga0197603_0141,140394..140831, putative oxidoreductase
Ga0197603_11,MSTRG.104,2758109077, Ga0197603_0142,140945..142792, hypothetical protein
Ga0197603_11,MSTRG.105,2758109078, Ga0197603_0143,142887..144515, predicted MFS family arabinose efflux permease
Ga0197603_11,MSTRG.106,2758109079, Ga0197603_0144,complement(144831..145046), hypothetical protein
Ga0197603_11,MSTRG.107,2758109080, Ga0197603_0145,complement(145202..146194), non-heme chloroperoxidase
Ga0197603_11,MSTRG.108,2758109081, Ga0197603_0146,146386..146562, hypothetical protein
Ga0197603_11,MSTRG.109,2758109082, Ga0197603_0147,complement(146578..147912), manganese transport protein
Ga0197603_11,MSTRG.110,2758109083, Ga0197603_0148,148055..148522, DtxR family iron (metal) dependent repressor
Ga0197603_11,MSTRG.110,2758109084, Ga0197603_0149,148519..149043, tRNA-adenosine deaminase
Ga0197603_11,MSTRG.111,2758109085, Ga0197603_0150,149116..149700, oligoribonuclease
Ga0197603_11,MSTRG.112,2758109086, Ga0197603_0151,complement(149847..150833), small-conductance mechanosensitive channel
Ga0197603_11,MSTRG.112,2758109087, Ga0197603_0152,complement(150833..153211), phosphoenolpyruvate synthase
Ga0197603_11,MSTRG.113,2758109088, Ga0197603_0153,153354..154175, hypothetical protein
Ga0197603_11,MSTRG.114,2758109089, Ga0197603_0154,154382..154891, hypothetical protein
Ga0197603_11,MSTRG.115,2758109090, Ga0197603_0155,154978..155466, 8-oxo-dGTP diphosphatase
Ga0197603_11,MSTRG.116,2758109091, Ga0197603_0156,complement(155836..156594), 3-hydroxybutyrate dehydrogenase
Ga0197603_11,MSTRG.117,2758109092, Ga0197603_0157,156727..157341, CDP-diacylglycerol--serine O-phosphatidyltransferase
Ga0197603_11,MSTRG.118,2758109093, Ga0197603_0158,157400..158623, class III poly(R)-hydroxyalkanoic acid synthase PhaE subunit
Ga0197603_11,MSTRG.118,2758109094, Ga0197603_0159,158620..159696, polyhydroxyalkanoate synthase
Ga0197603_11,MSTRG.119,2758109095, Ga0197603_0160,159811..160008, phage shock protein C (PspC) family protein
Ga0197603_11,MSTRG.119,2758109096, Ga0197603_0161,160005..160493, hypothetical protein
Ga0197603_11,MSTRG.120,2758109097, Ga0197603_0162,complement(160451..161662), glycineD-amino acid oxidase-like deaminating enzyme
Ga0197603_11,MSTRG.121,2758109098, Ga0197603_0163,161853..162080, hypothetical protein
Ga0197603_11,MSTRG.122,2758109099, Ga0197603_0164,162184..164547, uncharacterized protein
Ga0197603_11,MSTRG.123,2758109100, Ga0197603_0165,165013..165246, transposase
Ga0197603_11,MSTRG.124,2758109101, Ga0197603_0166,165300..166118, putative transposase
Ga0197603_11,MSTRG.125,2758109102, Ga0197603_0167,complement(166539..169988), multi-sensor hybrid histidine kinase
Ga0197603_11,MSTRG.126,2758109103, Ga0197603_0168,complement(170201..170581), CheY-like chemotaxis protein
Ga0197603_11,MSTRG.127,2758109104, Ga0197603_0169,170720..170803, label=tRNA
Ga0197603_11,MSTRG.128,2758109105, Ga0197603_0170,171183..171359, hypothetical protein
Ga0197603_11,MSTRG.129,2758109106, Ga0197603_0171,complement(171659..171731), label=tRNA
Ga0197603_11,MSTRG.130,2758109107, Ga0197603_0172,complement(171783..171855), label=tRNA
Ga0197603_11,MSTRG.131,2758109108, Ga0197603_0173,complement(172627..172699), label=tRNA
Ga0197603_11,MSTRG.132,2758109109, Ga0197603_0174,complement(172750..172822), label=tRNA
Ga0197603_11,MSTRG.133,2758109110, Ga0197603_0175,complement(172914..173375), cytochrome c553
Ga0197603_11,MSTRG.134,2758109111, Ga0197603_0176,complement(173384..173782), cytochrome c553
Ga0197603_11,MSTRG.135,2758109112, Ga0197603_0177,173987..175120, RND family efflux transporter MFP subunit
Ga0197603_11,MSTRG.135,2758109113, Ga0197603_0178,175117..178629, HAE1 family hydrophobicamphiphilic exporter-1
Ga0197603_11,MSTRG.135,2758109114, Ga0197603_0179,178626..181712, HAE1 family hydrophobicamphiphilic exporter-1
Ga0197603_11,MSTRG.136,2758109115, Ga0197603_0180,complement(182195..182854), 2-keto-3-deoxy-phosphogluconate aldolase
Ga0197603_11,MSTRG.137,2758109116, Ga0197603_0181,complement(182906..184822), 6-phosphogluconate dehydratase
Ga0197603_11,MSTRG.138,2758109117, Ga0197603_0182,complement(184949..185668), 6-phosphogluconolactonase
Ga0197603_11,MSTRG.138,2758109118, Ga0197603_0183,complement(185665..186672), glucokinase
Ga0197603_11,MSTRG.138,2758109119, Ga0197603_0184,complement(186669..188099), glucose-6-phosphate 1-dehydrogenase
Ga0197603_11,MSTRG.139,2758109120, Ga0197603_0185,188523..189620, carbohydrate ABC transporter ATP-binding protein (CUT1 family)
Ga0197603_11,MSTRG.140,2758109121, Ga0197603_0186,complement(189745..190617), hypothetical protein
Ga0197603_11,MSTRG.141,2758109122, Ga0197603_0187,190884..191279, succinate dehydrogenase subunit C
Ga0197603_11,MSTRG.141,2758109123, Ga0197603_0188,191276..191662, succinate dehydrogenase subunit D
Ga0197603_11,MSTRG.142,2758109124, Ga0197603_0189,191696..193486, succinate dehydrogenase subunit A
Ga0197603_11,MSTRG.143,2758109125, Ga0197603_0190,193490..193699, hypothetical protein
Ga0197603_11,MSTRG.144,2758109126, Ga0197603_0191,193716..194498, succinate dehydrogenase subunit B
Ga0197603_11,MSTRG.145,2758109127, Ga0197603_0192,194609..194857, antitoxin CptB
Ga0197603_11,MSTRG.146,2758109128, Ga0197603_0193,194904..195260, toxin CptA
Ga0197603_11,MSTRG.147,2758109129, Ga0197603_0194,195284..196525, lipoprotein-releasing system permease protein
Ga0197603_11,MSTRG.147,2758109130, Ga0197603_0195,196518..197252, lipoprotein-releasing system ATP-binding protein
Ga0197603_11,MSTRG.148,2758109131, Ga0197603_0196,complement(197462..198526), nucleoside-diphosphate-sugar epimerase
Ga0197603_11,MSTRG.149,2758109132, Ga0197603_0197,198829..201237, competence protein ComEC
Ga0197603_11,MSTRG.150,2758109133, Ga0197603_0198,201265..201927, biopolymer transport protein ExbB
Ga0197603_11,MSTRG.151,2758109134, Ga0197603_0199,201931..202395, biopolymer transport protein ExbD
Ga0197603_11,MSTRG.151,2758109135, Ga0197603_0200,202392..204161, lipid A export permeaseATP-binding protein MsbA
Ga0197603_11,MSTRG.151,2758109136, Ga0197603_0201,204158..205195, lipid-A-disaccharide kinase
Ga0197603_11,MSTRG.152,2758109137, Ga0197603_0202,205517..206296, 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)
Ga0197603_11,MSTRG.152,2758109138, Ga0197603_0203,206293..206757, protein tyrosine phosphatase
Ga0197603_11,MSTRG.153,2758109139, Ga0197603_0204,206781..208199, NHL repeat-containing protein
Ga0197603_11,MSTRG.153,2758109140, Ga0197603_0205,208196..210052, excinuclease ABC subunit C
Ga0197603_11,MSTRG.153,2758109141, Ga0197603_0206,210052..210684, CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
Ga0197603_11,MSTRG.154,2758109142, Ga0197603_0207,210721..210793, label=tRNA
Ga0197603_11,MSTRG.155,2758109143, Ga0197603_0208,211025..212956, integrase
Ga0197603_11,MSTRG.156,2758109144, Ga0197603_0209,complement(213023..213673), LysR substrate binding domain-containing protein
Ga0197603_11,MSTRG.157,2758109145, Ga0197603_0210,213776..214069, DNA-binding XRE family transcriptional regulator
Ga0197603_11,MSTRG.158,2758109146, Ga0197603_0211,complement(214097..214981), DNA-binding transcriptional LysR family regulator
Ga0197603_11,MSTRG.159,2758109147, Ga0197603_0212,complement(215440..216153), hypothetical protein
Ga0197603_11,MSTRG.160,2758109148, Ga0197603_0213,complement(216368..219350), hypothetical protein
Ga0197603_11,MSTRG.160,2758109149, Ga0197603_0214,complement(216948..218050), transposase InsO family protein
Ga0197603_11,MSTRG.161,2758109150, Ga0197603_0215,complement(219647..222541), AAA domain-containing protein
Ga0197603_11,MSTRG.162,2758109151, Ga0197603_0216,222564..223547, IS5 family transposase
Ga0197603_11,MSTRG.163,2758109152, Ga0197603_0217,complement(223515..224072), hypothetical protein
Ga0197603_11,MSTRG.164,2758109153, Ga0197603_0218,complement(224534..224854), hypothetical protein
Ga0197603_11,MSTRG.165,2758109154, Ga0197603_0219,225263..226810, glucose-6-phosphate-specific signal transduction histidine kinase
Ga0197603_11,MSTRG.166,2758109155, Ga0197603_0220,complement(226760..227185), hypothetical protein
Ga0197603_11,MSTRG.167,2758109156, Ga0197603_0221,227706..228485, hypothetical protein
Ga0197603_11,MSTRG.168,2758109157, Ga0197603_0222,228517..229656, type IV secretion system protein VirB6
Ga0197603_11,MSTRG.169,2758109158, Ga0197603_0223,229707..230210, uncharacterized protein DUF4189
Ga0197603_11,MSTRG.170,2758109159, Ga0197603_0224,230422..230952, hypothetical protein
Ga0197603_11,MSTRG.171,2758109160, Ga0197603_0225,231018..231608, hypothetical protein
Ga0197603_11,MSTRG.171,2758109161, Ga0197603_0226,231605..232981, lipase (class 3)
Ga0197603_11,MSTRG.172,2758109162, Ga0197603_0227,233005..234171, type IV secretion system protein VirB6
Ga0197603_11,MSTRG.173,2758109163, Ga0197603_0228,complement(234196..235158), IS5 family transposase
Ga0197603_11,MSTRG.173,2758109164, Ga0197603_0229,complement(235149..236257), transposase InsO family protein
Ga0197603_11,MSTRG.173,2758109165, Ga0197603_0230,complement(236212..236766), transposase-like protein DUF772
Ga0197603_11,MSTRG.174,2758109166, Ga0197603_0231,complement(236901..238829), integrating conjugative element relaxase (TIGR03760 family)
Ga0197603_11,MSTRG.175,2758109167, Ga0197603_0232,239145..239771, hypothetical protein
Ga0197603_11,MSTRG.176,2758109168, Ga0197603_0233,239784..240416, RES domain-containing protein
Ga0197603_11,MSTRG.177,2758109169, Ga0197603_0234,240502..240879, uncharacterized protein DUF3742
Ga0197603_11,MSTRG.178,2758109170, Ga0197603_0235,complement(240920..241486), hypothetical protein
Ga0197603_11,MSTRG.179,2758109171, Ga0197603_0236,241706..242704, DNA-binding transcriptional LysR family regulator
Ga0197603_11,MSTRG.180,2758109172, Ga0197603_0237,complement(242662..243408), NAD(P)-dependent dehydrogenase (short-subunit alcohol dehydrogenase family)
Ga0197603_11,MSTRG.181,2758109173, Ga0197603_0238,243745..249055, amino acid adenylation domain-containing proteinthioester reductase-like protein
Ga0197603_11,MSTRG.181,2758109174, Ga0197603_0239,246400..247383, IS5 family transposase
Ga0197603_11,MSTRG.181,2758109175, Ga0197603_0240,249052..249804, NADP-dependent 3-hydroxy acid dehydrogenase YdfG
Ga0197603_11,MSTRG.182,2758109176, Ga0197603_0241,249840..250655, 2-oxoglutarate-Fe(II)-dependent oxygenase superfamily protein
Ga0197603_11,MSTRG.183,2758109177, Ga0197603_0242,250774..251622, phosphoserine phosphatase
Ga0197603_11,MSTRG.183,2758109178, Ga0197603_0243,251619..252524, drugmetabolite transporter (DMT)-like permease
Ga0197603_11,MSTRG.184,2758109179, Ga0197603_0244,complement(252788..254301), TraG-like protein
Ga0197603_11,MSTRG.185,2758109180, Ga0197603_0245,complement(254317..254664), hypothetical protein
Ga0197603_11,MSTRG.185,2758109181, Ga0197603_0246,complement(254661..256055), integrating conjugative element protein (TIGR03755 family)
Ga0197603_11,MSTRG.186,2758109182, Ga0197603_0247,complement(256066..257022), integrating conjugative element protein (TIGR03756 family)
Ga0197603_11,MSTRG.186,2758109183, Ga0197603_0248,complement(257019..257408), integrating conjugative element protein (TIGR03757 family)
Ga0197603_11,MSTRG.187,2758109184, Ga0197603_0249,complement(257626..258966), DHA2 family multidrug resistance protein-like MFS transporter
Ga0197603_11,MSTRG.188,2758109185, Ga0197603_0250,complement(258992..259597), HAD superfamily hydrolase (TIGR01509 family)
Ga0197603_11,MSTRG.188,2758109186, Ga0197603_0251,complement(259594..260010), ADP-ribose pyrophosphatase YjhB (NUDIX family)
Ga0197603_11,MSTRG.189,2758109187, Ga0197603_0252,complement(260013..260642), transferase family hexapeptide repeat protein
Ga0197603_11,MSTRG.190,2758109188, Ga0197603_0253,260641..262008, IS5 family transposase
Ga0197603_11,MSTRG.191,2758109189, Ga0197603_0254,complement(262019..262186), hypothetical protein
Ga0197603_11,MSTRG.191,2758109190, Ga0197603_0255,complement(262180..263358), alkylation response protein AidB-like acyl-CoA dehydrogenase
Ga0197603_11,MSTRG.192,2758109191, Ga0197603_0256,complement(263645..264628), IS5 family transposase
Ga0197603_11,MSTRG.193,2758109192, Ga0197603_0257,264759..264869, hypothetical protein
